County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,941,14,32,987
ALAMEDA COUNTY,ALAMEDA PD,72,0,16,88
ALAMEDA COUNTY,ALBANY PD,24,2,6,32
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,216,0,21,237
ALAMEDA COUNTY,BERKELEY PD,167,16,30,213
ALAMEDA COUNTY,CSU EAST BAY PD,10,0,2,12
ALAMEDA COUNTY,EAST BAY REG PARK DPS,58,0,16,74
ALAMEDA COUNTY,EMERYVILLE PD,38,0,14,52
ALAMEDA COUNTY,FREMONT PD,184,9,30,223
ALAMEDA COUNTY,HAYWARD PD,174,22,32,228
ALAMEDA COUNTY,LIVERMORE PD,95,5,19,119
ALAMEDA COUNTY,NEWARK PD,52,2,11,65
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,27,1,0,28
ALAMEDA COUNTY,OAKLAND PD,757,5,69,831
ALAMEDA COUNTY,OAKLAND USD PD,10,0,0,10
ALAMEDA COUNTY,OHLONE CCD PD,2,1,0,3
ALAMEDA COUNTY,PIEDMONT PD,20,4,7,31
ALAMEDA COUNTY,PLEASANTON PD,80,1,16,97
ALAMEDA COUNTY,SAN LEANDRO PD,88,0,18,106
ALAMEDA COUNTY,UC BERKELEY PD,47,0,9,56
ALAMEDA COUNTY,UNION CITY PD,73,0,1,74
ALPINE COUNTY,ALPINE CO SD,13,1,1,15
AMADOR COUNTY,AMADOR CO DA,9,0,0,9
AMADOR COUNTY,AMADOR CO SD/CORONER,45,7,10,62
AMADOR COUNTY,IONE PD,9,1,0,10
AMADOR COUNTY,JACKSON PD,9,7,0,16
AMADOR COUNTY,SUTTER CREEK PD,5,3,0,8
BUTTE COUNTY,BUTTE CCD PD,4,0,0,4
BUTTE COUNTY,BUTTE CO DA,20,0,0,20
BUTTE COUNTY,BUTTE CO SD/CORONER,164,25,17,206
BUTTE COUNTY,CHICO PD,97,0,21,118
BUTTE COUNTY,CSU CHICO PD,16,0,5,21
BUTTE COUNTY,GRIDLEY PD,12,7,9,28
BUTTE COUNTY,OROVILLE PD,24,5,11,40
BUTTE COUNTY,PARADISE PD,19,0,7,26
CALAVERAS COUNTY,ANGELS CAMP PD,6,0,0,6
CALAVERAS COUNTY,CALAVERAS CO DA,2,0,0,2
CALAVERAS COUNTY,CALAVERAS CO SD,63,4,9,76
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,3,0,0,3
COLUSA COUNTY,COLUSA COUNTY SD,28,0,8,36
COLUSA COUNTY,COLUSA PD,7,1,0,8
COLUSA COUNTY,WILLIAMS PD,10,0,0,10
CONTRA COSTA COUNTY,ANTIOCH PD,115,2,16,133
CONTRA COSTA COUNTY,BRENTWOOD PD,64,0,13,77
CONTRA COSTA COUNTY,CLAYTON PD,11,0,0,11
CONTRA COSTA COUNTY,CONCORD PD,143,9,18,170
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,21,0,0,21
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,31,0,0,31
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,626,27,46,699
CONTRA COSTA COUNTY,EL CERRITO PD,39,1,0,40
CONTRA COSTA COUNTY,HERCULES PD,23,4,0,27
CONTRA COSTA COUNTY,KENSINGTON PD,7,0,0,7
CONTRA COSTA COUNTY,MARTINEZ PD,35,5,9,49
CONTRA COSTA COUNTY,MORAGA PD,11,3,0,14
CONTRA COSTA COUNTY,OAKLEY PD,30,0,0,30
CONTRA COSTA COUNTY,PINOLE PD,25,0,12,37
CONTRA COSTA COUNTY,PITTSBURG PD,85,0,0,85
CONTRA COSTA COUNTY,PLEASANT HILL PD,43,1,11,55
CONTRA COSTA COUNTY,RICHMOND PD,150,3,20,173
CONTRA COSTA COUNTY,SAN PABLO PD,57,0,0,57
CONTRA COSTA COUNTY,SAN RAMON PD,64,0,0,64
CONTRA COSTA COUNTY,WALNUT CREEK PD,82,32,17,131
DEL NORTE COUNTY,CRESCENT CITY PD,12,0,0,12
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SD,15,5,5,25
EL DORADO COUNTY,EL DORADO CO DA,17,0,0,17
EL DORADO COUNTY,EL DORADO CO SD,159,4,23,186
EL DORADO COUNTY,PLACERVILLE PD,17,2,5,24
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,39,3,10,52
FRESNO COUNTY,CLOVIS PD,100,9,23,132
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,16,0,0,16
FRESNO COUNTY,COALINGA PD,16,0,3,19
FRESNO COUNTY,CSU FRESNO DPS,26,0,8,34
FRESNO COUNTY,FIREBAUGH PD,11,8,0,19
FRESNO COUNTY,FOWLER PD,11,1,0,12
FRESNO COUNTY,FRESNO CO DA,52,0,0,52
FRESNO COUNTY,FRESNO CO SD,410,67,48,525
FRESNO COUNTY,FRESNO PD,797,20,100,917
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,6,0,0,6
FRESNO COUNTY,HURON PD,18,0,6,24
FRESNO COUNTY,KERMAN PD,22,6,0,28
FRESNO COUNTY,KINGSBURG PD,18,7,0,25
FRESNO COUNTY,MENDOTA PD,13,6,0,19
FRESNO COUNTY,ORANGE COVE PD,11,3,0,14
FRESNO COUNTY,PARLIER PD,16,2,0,18
FRESNO COUNTY,REEDLEY PD,28,2,7,37
FRESNO COUNTY,SANGER PD,35,1,0,36
FRESNO COUNTY,SELMA PD,34,0,7,41
FRESNO COUNTY,STATE CENTER CCD PD,18,0,7,25
GLENN COUNTY,GLENN CO DA,1,0,0,1
GLENN COUNTY,GLENN CO SD/CORONER,46,4,9,59
GLENN COUNTY,ORLAND PD,12,1,0,13
HUMBOLDT COUNTY,ARCATA PD,25,0,7,32
HUMBOLDT COUNTY,CSU HUMBOLDT PD,12,0,7,19
HUMBOLDT COUNTY,EUREKA PD,48,3,12,63
HUMBOLDT COUNTY,FERNDALE PD,7,2,0,9
HUMBOLDT COUNTY,FORTUNA PD,18,0,6,24
HUMBOLDT COUNTY,HUMBOLDT CO DA,10,0,0,10
HUMBOLDT COUNTY,HUMBOLDT CO SD,189,16,13,218
HUMBOLDT COUNTY,HUMBOLDT DEPT WELFARE/INVEST,9,0,0,9
HUMBOLDT COUNTY,RIO DELL PD,4,1,0,5
IMPERIAL COUNTY,BRAWLEY PD,23,6,7,36
IMPERIAL COUNTY,CALEXICO PD,22,2,7,31
IMPERIAL COUNTY,CALIPATRIA PD,6,2,0,8
IMPERIAL COUNTY,EL CENTRO PD,46,1,11,58
IMPERIAL COUNTY,IMPERIAL CO DA,17,0,0,17
IMPERIAL COUNTY,IMPERIAL CO SD,94,10,11,115
IMPERIAL COUNTY,IMPERIAL PD,15,3,0,18
IMPERIAL COUNTY,WESTMORLAND PD,4,3,0,7
INYO COUNTY,BISHOP PD,11,4,7,22
INYO COUNTY,INYO CO DA,2,0,0,2
INYO COUNTY,INYO COUNTY SD,37,8,6,51
KERN COUNTY,ARVIN PD,18,4,5,27
KERN COUNTY,BAKERSFIELD PD,410,6,38,454
KERN COUNTY,BEAR VALLEY PD,5,0,0,5
KERN COUNTY,CALIFORNIA CITY PD,14,7,5,26
KERN COUNTY,CSU BAKERSFIELD DPS,14,0,7,21
KERN COUNTY,DELANO PD,50,2,8,60
KERN COUNTY,KERN CO DA,28,0,0,28
KERN COUNTY,KERN CO-DEPT OF PARKS & REC,8,1,0,9
KERN COUNTY,KERN COUNTY SD,772,38,42,852
KERN COUNTY,KERN HIGH SCHOOL DISTRICT PD,29,0,0,29
KERN COUNTY,MCFARLAND PD,8,1,5,14
KERN COUNTY,RIDGECREST PD,30,11,5,46
KERN COUNTY,SHAFTER PD,28,0,7,35
KERN COUNTY,STALLION SPRINGS PD,4,0,0,4
KERN COUNTY,TAFT PD,13,2,5,20
KERN COUNTY,TEHACHAPI PD,16,2,8,26
KINGS COUNTY,AVENAL PD,17,2,0,19
KINGS COUNTY,CORCORAN PD,19,3,10,32
KINGS COUNTY,HANFORD PD,60,0,13,73
KINGS COUNTY,KINGS CO DA,14,0,0,14
KINGS COUNTY,KINGS CO SHERIFF'S OFFICE,201,5,15,221
KINGS COUNTY,"KINGS CO-HUMAN SVCS,WELFARE FD",3,0,0,3
KINGS COUNTY,LEMOORE PD,32,6,0,38
LAKE COUNTY,CLEARLAKE PD,22,2,7,31
LAKE COUNTY,LAKE CO DA,5,0,0,5
LAKE COUNTY,LAKE CO SD,89,1,8,98
LAKE COUNTY,LAKEPORT PD,9,0,0,9
LASSEN COUNTY,LASSEN CO DA,1,0,0,1
LASSEN COUNTY,LASSEN CO SD,61,3,6,70
LASSEN COUNTY,SUSANVILLE PD,16,0,0,16
LOS ANGELES COUNTY,ALHAMBRA PD,76,4,12,92
LOS ANGELES COUNTY,AMTRAK PD,31,0,0,31
LOS ANGELES COUNTY,ARCADIA PD,62,6,9,77
LOS ANGELES COUNTY,AZUSA PD,53,3,10,66
LOS ANGELES COUNTY,BALDWIN PARK PD,67,1,11,79
LOS ANGELES COUNTY,BALDWIN PARK UNIF SCH DIST PD,8,0,0,8
LOS ANGELES COUNTY,BELL GARDENS PD,46,2,7,55
LOS ANGELES COUNTY,BELL PD,30,3,4,37
LOS ANGELES COUNTY,BEVERLY HILLS PD,134,8,20,162
LOS ANGELES COUNTY,BURBANK AIRPORT AUTH PD,34,0,0,34
LOS ANGELES COUNTY,BURBANK PD,138,13,17,168
LOS ANGELES COUNTY,CA DEPT INDUSTRIAL RELATIONS,3,0,0,3
LOS ANGELES COUNTY,CA DEPT OF BUSINESS OVERSIGHT,5,0,0,5
LOS ANGELES COUNTY,CERRITOS CCD PD,14,0,0,14
LOS ANGELES COUNTY,CLAREMONT PD,38,3,8,49
LOS ANGELES COUNTY,COMPTON CCD PD,4,0,2,6
LOS ANGELES COUNTY,COMPTON UNIF SCH DIST PD,18,0,0,18
LOS ANGELES COUNTY,COVINA PD,54,1,10,65
LOS ANGELES COUNTY,CSU DOMINGUEZ HILLS PD,19,0,8,27
LOS ANGELES COUNTY,CSU LONG BEACH PD,21,0,10,31
LOS ANGELES COUNTY,CSU LOS ANGELES DPS,18,0,5,23
LOS ANGELES COUNTY,CSU NORTHRIDGE DEPT POLICE SVS,19,0,6,25
LOS ANGELES COUNTY,CSU POMONA DPS,23,0,6,29
LOS ANGELES COUNTY,CULVER CITY PD,113,16,0,129
LOS ANGELES COUNTY,DOWNEY PD,119,0,15,134
LOS ANGELES COUNTY,EL CAMINO CCD PD,11,1,5,17
LOS ANGELES COUNTY,EL MONTE PD,118,22,14,154
LOS ANGELES COUNTY,EL SEGUNDO PD,54,0,0,54
LOS ANGELES COUNTY,GARDENA PD,85,4,0,89
LOS ANGELES COUNTY,GLENDALE CCD PD,9,0,0,9
LOS ANGELES COUNTY,GLENDALE PD,228,11,20,259
LOS ANGELES COUNTY,GLENDORA PD,47,3,10,60
LOS ANGELES COUNTY,HACIENDA LA PUENTE USD,5,0,0,5
LOS ANGELES COUNTY,HAWTHORNE PD,90,2,0,92
LOS ANGELES COUNTY,HERMOSA BEACH PD,33,1,0,34
LOS ANGELES COUNTY,HUNTINGTON PARK PD,55,4,7,66
LOS ANGELES COUNTY,INGLEWOOD PD,192,0,20,212
LOS ANGELES COUNTY,INGLEWOOD UNIF SCH DIST PD,2,2,0,4
LOS ANGELES COUNTY,IRWINDALE PD,27,3,6,36
LOS ANGELES COUNTY,LA VERNE PD,37,5,7,49
LOS ANGELES COUNTY,LONG BEACH DISASTER/EMERG COMM,0,0,46,46
LOS ANGELES COUNTY,LONG BEACH PD,836,22,0,858
LOS ANGELES COUNTY,LOS ANGELES CITY PARK RANGER,21,0,0,21
LOS ANGELES COUNTY,LOS ANGELES CO CORONER,55,0,0,55
LOS ANGELES COUNTY,LOS ANGELES CO DA,241,0,0,241
LOS ANGELES COUNTY,LOS ANGELES CO SD,9837,572,512,10921
LOS ANGELES COUNTY,LOS ANGELES PD,9722,393,580,10695
LOS ANGELES COUNTY,LOS ANGELES PORT PD,133,0,8,141
LOS ANGELES COUNTY,LOS ANGELES SCHOOL PD,340,0,0,340
LOS ANGELES COUNTY,LOS ANGELES WORLD AIRPORTS PD,514,0,0,514
LOS ANGELES COUNTY,MANHATTAN BEACH PD,61,1,0,62
LOS ANGELES COUNTY,MONROVIA PD,42,2,12,56
LOS ANGELES COUNTY,MONTEBELLO PD,72,7,9,88
LOS ANGELES COUNTY,MONTEBELLO UNIFIED SCHOOL DIST,3,0,0,3
LOS ANGELES COUNTY,MONTEREY PARK PD,66,18,14,98
LOS ANGELES COUNTY,PALOS VERDES ESTATES PD,19,6,7,32
LOS ANGELES COUNTY,PASADENA CITY CCD PD,10,0,7,17
LOS ANGELES COUNTY,PASADENA PD,214,9,29,252
LOS ANGELES COUNTY,POMONA PD,148,7,27,182
LOS ANGELES COUNTY,REDONDO BEACH PD,83,12,11,106
LOS ANGELES COUNTY,SAN FERNANDO PD,28,17,7,52
LOS ANGELES COUNTY,SAN GABRIEL PD,53,3,5,61
LOS ANGELES COUNTY,SAN MARINO PD,27,0,5,32
LOS ANGELES COUNTY,SANTA MONICA CCD PD,17,0,7,24
LOS ANGELES COUNTY,SANTA MONICA OFFICE EMER MGT,0,0,27,27
LOS ANGELES COUNTY,SANTA MONICA PD,212,0,0,212
LOS ANGELES COUNTY,SIERRA MADRE PD,16,7,6,29
LOS ANGELES COUNTY,SIGNAL HILL PD,31,0,8,39
LOS ANGELES COUNTY,SOUTH BAY REG PUB COMM AUTH,0,0,63,63
LOS ANGELES COUNTY,SOUTH GATE PD,72,1,9,82
LOS ANGELES COUNTY,SOUTH PASADENA PD,33,4,9,46
LOS ANGELES COUNTY,TORRANCE PD,200,0,23,223
LOS ANGELES COUNTY,UC LOS ANGELES PD,53,0,14,67
LOS ANGELES COUNTY,VERNON PD,41,1,7,49
LOS ANGELES COUNTY,WEST COVINA PD,89,6,17,112
LOS ANGELES COUNTY,WHITTIER PD,105,1,14,120
MADERA COUNTY,CHOWCHILLA PD,19,2,8,29
MADERA COUNTY,MADERA CO DA,9,0,0,9
MADERA COUNTY,MADERA CO SD,83,25,10,118
MADERA COUNTY,MADERA PD,67,1,14,82
MARIN COUNTY,BELVEDERE PD,7,1,0,8
MARIN COUNTY,CENTRAL MARIN POLICE AUTHORITY,42,2,0,44
MARIN COUNTY,FAIRFAX PD,9,0,4,13
MARIN COUNTY,MARIN CCD PD,5,0,0,5
MARIN COUNTY,MARIN CO DA,12,0,0,12
MARIN COUNTY,MARIN CO HEALTH & HUMAN SVCS,3,0,0,3
MARIN COUNTY,MARIN CO SD,199,0,41,240
MARIN COUNTY,MARIN MUNCPL WATER DIST,6,0,0,6
MARIN COUNTY,MILL VALLEY PD,21,1,0,22
MARIN COUNTY,NOVATO PD,53,0,11,64
MARIN COUNTY,ROSS PD,7,0,0,7
MARIN COUNTY,SAN RAFAEL PD,61,3,22,86
MARIN COUNTY,SAUSALITO PD,19,0,0,19
MARIN COUNTY,TIBURON PD,14,8,0,22
MARIPOSA COUNTY,MARIPOSA CO DA,1,0,0,1
MARIPOSA COUNTY,MARIPOSA CO SD,60,12,0,72
MENDOCINO COUNTY,FORT BRAGG PD,12,0,0,12
MENDOCINO COUNTY,MENDOCINO CO DA,7,0,0,7
MENDOCINO COUNTY,MENDOCINO CO HEALTH/HUMAN SVCS,6,0,0,6
MENDOCINO COUNTY,MENDOCINO CO SD,120,7,13,140
MENDOCINO COUNTY,UKIAH PD,25,0,12,37
MENDOCINO COUNTY,WILLITS PD,10,1,5,16
MERCED COUNTY,ATWATER PD,24,6,5,35
MERCED COUNTY,DOS PALOS PD,11,1,4,16
MERCED COUNTY,GUSTINE PD,8,1,0,9
MERCED COUNTY,LIVINGSTON PD,18,2,7,27
MERCED COUNTY,LOS BANOS PD,32,1,9,42
MERCED COUNTY,MERCED CCD PD,5,0,0,5
MERCED COUNTY,MERCED CO DA,9,0,0,9
MERCED COUNTY,MERCED CO SD,117,48,16,181
MERCED COUNTY,MERCED PD,86,7,13,106
MERCED COUNTY,UC MERCED PD,18,0,6,24
MODOC COUNTY,ALTURAS PD,9,3,0,12
MODOC COUNTY,MODOC CO SD,11,0,4,15
MONO COUNTY,MAMMOTH LAKES PD,15,1,0,16
MONO COUNTY,MONO CO DA,2,0,0,2
MONO COUNTY,MONO CO SD,22,0,16,38
MONTEREY COUNTY,CARMEL PD,14,0,5,19
MONTEREY COUNTY,CSU MONTEREY BAY PD,16,0,0,16
MONTEREY COUNTY,DEL REY OAKS PD,10,5,0,15
MONTEREY COUNTY,GONZALES PD,12,0,0,12
MONTEREY COUNTY,GREENFIELD PD,20,2,0,22
MONTEREY COUNTY,KING CITY PD,15,0,0,15
MONTEREY COUNTY,MARINA PD,28,0,0,28
MONTEREY COUNTY,MONTEREY CO DA,28,0,0,28
MONTEREY COUNTY,MONTEREY CO EMER COMM,0,0,61,61
MONTEREY COUNTY,MONTEREY CO SHERIFF'S OFFICE,292,3,0,295
MONTEREY COUNTY,MONTEREY PD,46,1,0,47
MONTEREY COUNTY,PACIFIC GROVE PD,19,0,0,19
MONTEREY COUNTY,SALINAS PD,146,0,0,146
MONTEREY COUNTY,SAND CITY PD,10,3,0,13
MONTEREY COUNTY,SEASIDE PD,30,0,0,30
MONTEREY COUNTY,SOLEDAD PD,17,6,0,23
NAPA COUNTY,CALISTOGA PD,11,0,8,19
NAPA COUNTY,NAPA CO DA,12,0,0,12
NAPA COUNTY,NAPA CO SD,100,0,0,100
NAPA COUNTY,NAPA PD,74,0,29,103
NAPA COUNTY,NAPA VALLEY COLLEGE DPS,4,0,0,4
NAPA COUNTY,NAPA VALLEY RR PD,2,0,0,2
NAPA COUNTY,SAINT HELENA PD,11,1,6,18
NEVADA COUNTY,GRASS VALLEY PD,27,8,0,35
NEVADA COUNTY,NEVADA CITY PD,10,5,0,15
NEVADA COUNTY,NEVADA CO DA,5,0,0,5
NEVADA COUNTY,NEVADA CO SD,60,2,13,75
NEVADA COUNTY,TRUCKEE PD,23,1,0,24
ORANGE COUNTY,ANAHEIM PD,391,24,32,447
ORANGE COUNTY,BREA PD,57,0,13,70
ORANGE COUNTY,BUENA PARK PD,87,4,14,105
ORANGE COUNTY,COAST CCD PD,1,0,0,1
ORANGE COUNTY,COSTA MESA PD,128,4,27,159
ORANGE COUNTY,CSU FULLERTON PD,27,0,11,38
ORANGE COUNTY,CYPRESS PD,47,0,0,47
ORANGE COUNTY,FOUNTAIN VALLEY PD,62,0,12,74
ORANGE COUNTY,FULLERTON PD,122,4,17,143
ORANGE COUNTY,GARDEN GROVE PD,173,8,20,201
ORANGE COUNTY,HUNTINGTON BEACH PD,208,5,26,239
ORANGE COUNTY,IRVINE PD,218,1,21,240
ORANGE COUNTY,IRVINE VALLEY CCD PD,9,0,4,13
ORANGE COUNTY,LA HABRA PD,68,6,17,91
ORANGE COUNTY,LA PALMA PD,19,4,9,32
ORANGE COUNTY,LAGUNA BEACH PD,53,3,13,69
ORANGE COUNTY,LOS ALAMITOS PD,18,2,0,20
ORANGE COUNTY,NEWPORT BEACH PD,137,3,20,160
ORANGE COUNTY,ORANGE CO DA,175,0,0,175
ORANGE COUNTY,ORANGE CO SD/CORONER,1909,137,54,2100
ORANGE COUNTY,ORANGE PD,152,5,17,174
ORANGE COUNTY,PLACENTIA PD,46,1,13,60
ORANGE COUNTY,SADDLEBACK CCD PD,7,0,2,9
ORANGE COUNTY,SANTA ANA PD,332,4,34,370
ORANGE COUNTY,SANTA ANA UNIF SCHL DIST PD,28,0,0,28
ORANGE COUNTY,SEAL BEACH PD,38,1,0,39
ORANGE COUNTY,TUSTIN PD,91,6,15,112
ORANGE COUNTY,UC IRVINE PD,47,0,11,58
ORANGE COUNTY,WEST CITIES COMM CTR,0,0,21,21
ORANGE COUNTY,WESTMINSTER PD,85,6,12,103
PLACER COUNTY,AUBURN PD,20,2,8,30
PLACER COUNTY,LINCOLN PD,24,0,6,30
PLACER COUNTY,PLACER CO DA,18,2,0,20
PLACER COUNTY,PLACER COUNTY SD,250,91,21,362
PLACER COUNTY,ROCKLIN PD,59,2,12,73
PLACER COUNTY,ROSEVILLE PD,137,3,23,163
PLACER COUNTY,UNION PACIFIC RAILROAD,33,0,0,33
PLUMAS COUNTY,PLUMAS CO SD,32,5,11,48
RIVERSIDE COUNTY,BANNING PD,26,2,7,35
RIVERSIDE COUNTY,BEAUMONT PD,41,0,11,52
RIVERSIDE COUNTY,BLYTHE PD,17,2,7,26
RIVERSIDE COUNTY,CATHEDRAL CITY PD,48,1,17,66
RIVERSIDE COUNTY,CORONA PD,145,0,28,173
RIVERSIDE COUNTY,DESERT HOT SPRINGS PD,29,1,0,30
RIVERSIDE COUNTY,HEMET PD,71,0,16,87
RIVERSIDE COUNTY,INDIO PD,72,0,13,85
RIVERSIDE COUNTY,MENIFEE PD,44,0,0,44
RIVERSIDE COUNTY,MURRIETA PD,94,5,35,134
RIVERSIDE COUNTY,PALM SPRINGS PD,98,4,16,118
RIVERSIDE COUNTY,RIVERSIDE CCD PD,21,0,0,21
RIVERSIDE COUNTY,RIVERSIDE CO DA,111,0,2,113
RIVERSIDE COUNTY,RIVERSIDE CO PUBLIC SOCIAL SER,20,0,0,20
RIVERSIDE COUNTY,RIVERSIDE CO SD,1837,34,155,2026
RIVERSIDE COUNTY,RIVERSIDE PD,364,0,54,418
RIVERSIDE COUNTY,UC RIVERSIDE PD,31,0,7,38
RIVERSIDE COUNTY,VAL VERDE UNIF SCH DIST PD,6,6,0,12
SACRAMENTO COUNTY,CA ALCOHOLIC BEVERAGE CONTROL,178,0,0,178
SACRAMENTO COUNTY,CA ASSEMBLY SGT AT ARMS LEGIS,23,0,0,23
SACRAMENTO COUNTY,CA DEPT CONSUMER AFF DEN BD,15,0,0,15
SACRAMENTO COUNTY,CA DEPT CONSUMER AFF INVEST,179,0,0,179
SACRAMENTO COUNTY,CA DEPT DEVELOPMENTAL OPS,87,0,0,87
SACRAMENTO COUNTY,CA DEPT EMPLOYMENT DEVELOPMENT,34,0,0,34
SACRAMENTO COUNTY,CA DEPT FISH & WILDLIFE,389,0,0,389
SACRAMENTO COUNTY,CA DEPT HEALTH CARE SVCS,74,0,0,74
SACRAMENTO COUNTY,CA DEPT INSURANCE FRAUD,186,0,0,186
SACRAMENTO COUNTY,CA DEPT JUSTICE,265,0,0,265
SACRAMENTO COUNTY,CA DEPT MOTOR VEHICLES,207,0,0,207
SACRAMENTO COUNTY,CA DEPT OF MANAGED HEALTH CARE,1,0,0,1
SACRAMENTO COUNTY,CA DEPT PARKS & RECREATION,480,0,40,520
SACRAMENTO COUNTY,CA DEPT PUB HEALTH FOOD/DRUG,84,0,0,84
SACRAMENTO COUNTY,CA DEPT SOCIAL SERVICES,57,0,0,57
SACRAMENTO COUNTY,CA DEPT STATE HOSPITALS,40,0,0,40
SACRAMENTO COUNTY,CA DEPT TOXIC SUBSTANCES CNTL,11,0,0,11
SACRAMENTO COUNTY,CA FRANCHISE TAX BOARD,31,0,0,31
SACRAMENTO COUNTY,CA HIGHWAY PATROL,7133,0,896,8029
SACRAMENTO COUNTY,CA HORSE RACING BOARD,13,0,0,13
SACRAMENTO COUNTY,CA OFFICE OF LE SUPPORT (OLES),5,0,0,5
SACRAMENTO COUNTY,CA SECRETARY OF STATE OFC INV,3,0,0,3
SACRAMENTO COUNTY,CA STATE FAIR PD,5,1,0,6
SACRAMENTO COUNTY,CA STATE LOTTERY,32,0,0,32
SACRAMENTO COUNTY,CAL - OES,17,0,0,17
SACRAMENTO COUNTY,CAL FIRE,166,0,0,166
SACRAMENTO COUNTY,CITRUS HEIGHTS PD,85,10,21,116
SACRAMENTO COUNTY,CSU SACRAMENTO UNIVERSITY PD,23,0,7,30
SACRAMENTO COUNTY,ELK GROVE PD,138,0,21,159
SACRAMENTO COUNTY,FOLSOM PD,74,4,15,93
SACRAMENTO COUNTY,GALT PD,31,2,6,39
SACRAMENTO COUNTY,LOS RIOS CCD PD,21,0,4,25
SACRAMENTO COUNTY,SACRAMENTO CO CORONER,18,0,0,18
SACRAMENTO COUNTY,SACRAMENTO CO DA,36,0,0,36
SACRAMENTO COUNTY,SACRAMENTO CO HUMAN ASST INV,19,0,0,19
SACRAMENTO COUNTY,SACRAMENTO CO REG PARKS DEPT,34,3,0,37
SACRAMENTO COUNTY,SACRAMENTO CO SD,1357,376,69,1802
SACRAMENTO COUNTY,SACRAMENTO PD,679,103,95,877
SACRAMENTO COUNTY,TWIN RIVERS USD PD,15,5,4,24
SAN BENITO COUNTY,HOLLISTER PD,33,2,0,35
SAN BENITO COUNTY,SAN BENITO CO DA,2,0,0,2
SAN BENITO COUNTY,SAN BENITO CO SD,53,12,0,65
SAN BERNARDINO COUNTY,APPLE VALLEY UNIF SCH DIST PD,9,4,0,13
SAN BERNARDINO COUNTY,BARSTOW PD,39,2,10,51
SAN BERNARDINO COUNTY,BURLINGTON NORTHRN SANTA FE RR,36,0,0,36
SAN BERNARDINO COUNTY,CHAFFEY CCD PD,13,0,0,13
SAN BERNARDINO COUNTY,CHINO PD,105,1,19,125
SAN BERNARDINO COUNTY,COLTON PD,53,0,12,65
SAN BERNARDINO COUNTY,CSU SAN BERNARDINO PD,19,0,8,27
SAN BERNARDINO COUNTY,FONTANA PD,183,1,27,211
SAN BERNARDINO COUNTY,FONTANA UNIFIED SCHOOL DIST,17,0,10,27
SAN BERNARDINO COUNTY,HESPERIA UNIFIED SCHOOL DIST,9,0,0,9
SAN BERNARDINO COUNTY,MONTCLAIR PD,37,6,9,52
SAN BERNARDINO COUNTY,ONTARIO PD,291,8,37,336
SAN BERNARDINO COUNTY,REDLANDS PD,83,3,18,104
SAN BERNARDINO COUNTY,RIALTO PD,100,1,10,111
