County,Agency,Full-Time Sworn,Reserve,Dispatcher,Total
BUTTE COUNTY,BUTTE CO DA,20,0,0,20
BUTTE COUNTY,BUTTE CO SD/CORONER,181,33,16,230
BUTTE COUNTY,CHICO PD,89,0,21,110
BUTTE COUNTY,CSU CHICO PD,15,0,8,23
BUTTE COUNTY,GRIDLEY PD,13,9,8,30
BUTTE COUNTY,OROVILLE PD,20,5,8,33
BUTTE COUNTY,PARADISE PD,20,1,10,31
CALAVERAS COUNTY,ANGELS CAMP PD,7,1,0,8
CALAVERAS COUNTY,CALAVERAS CO DA,1,0,0,1
CALAVERAS COUNTY,CALAVERAS CO SD,51,4,11,66
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,4,0,0,4
COLUSA COUNTY,COLUSA COUNTY SD,29,1,8,38
COLUSA COUNTY,COLUSA PD,8,1,0,9
COLUSA COUNTY,WILLIAMS PD,10,0,0,10
CONTRA COSTA COUNTY,ANTIOCH PD,99,3,15,117
CONTRA COSTA COUNTY,BRENTWOOD PD,63,0,0,63
CONTRA COSTA COUNTY,CLAYTON PD,11,1,0,12
CONTRA COSTA COUNTY,CONCORD PD,150,10,15,175
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,20,0,0,20
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,32,0,0,32
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,624,30,48,702
CONTRA COSTA COUNTY,EL CERRITO PD,39,3,0,42
CONTRA COSTA COUNTY,HERCULES PD,25,4,0,29
CONTRA COSTA COUNTY,KENSINGTON PD,9,0,0,9
CONTRA COSTA COUNTY,MARTINEZ PD,33,2,11,46
CONTRA COSTA COUNTY,MORAGA PD,12,5,0,17
CONTRA COSTA COUNTY,OAKLEY PD,33,0,0,33
CONTRA COSTA COUNTY,PINOLE PD,21,0,12,33
CONTRA COSTA COUNTY,PITTSBURG PD,78,2,0,80
CONTRA COSTA COUNTY,PLEASANT HILL PD,43,3,8,54
CONTRA COSTA COUNTY,RICHMOND PD,166,2,22,190
CONTRA COSTA COUNTY,SAN PABLO PD,45,0,0,45
CONTRA COSTA COUNTY,SAN RAMON PD,63,0,0,63
CONTRA COSTA COUNTY,WALNUT CREEK PD,81,29,17,127
DEL NORTE COUNTY,CRESCENT CITY PD,10,4,0,14
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SD,24,5,3,32
EL DORADO COUNTY,EL DORADO CO DA,14,0,0,14
EL DORADO COUNTY,EL DORADO CO SD,159,5,21,185
EL DORADO COUNTY,PLACERVILLE PD,18,2,4,24
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,36,6,9,51
FRESNO COUNTY,CLOVIS PD,104,15,22,141
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,11,0,0,11
FRESNO COUNTY,COALINGA PD,20,1,5,26
FRESNO COUNTY,CSU FRESNO DPS,23,0,7,30
FRESNO COUNTY,FIREBAUGH PD,11,6,0,17
FRESNO COUNTY,FOWLER PD,12,4,0,16
FRESNO COUNTY,FRESNO CO DA,50,0,0,50
FRESNO COUNTY,FRESNO CO SD,406,78,38,522
FRESNO COUNTY,FRESNO PD,770,39,91,900
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,3,0,0,3
FRESNO COUNTY,HURON PD,10,7,6,23
FRESNO COUNTY,KERMAN PD,20,9,0,29
FRESNO COUNTY,KINGSBURG PD,15,13,0,28
FRESNO COUNTY,MENDOTA PD,10,7,0,17
FRESNO COUNTY,ORANGE COVE PD,11,4,0,15
FRESNO COUNTY,PARLIER PD,10,3,0,13
FRESNO COUNTY,REEDLEY PD,29,3,6,38
FRESNO COUNTY,SANGER PD,35,2,0,37
FRESNO COUNTY,SELMA PD,34,0,5,39
FRESNO COUNTY,STATE CENTER CCD PD,11,0,5,16
GLENN COUNTY,GLENN CO SD/CORONER,36,6,8,50
GLENN COUNTY,ORLAND PD,10,0,0,10
GLENN COUNTY,WILLOWS PD,7,0,0,7
HUMBOLDT COUNTY,ARCATA PD,25,4,6,35
HUMBOLDT COUNTY,CSU HUMBOLDT DPS,12,0,8,20
HUMBOLDT COUNTY,EUREKA PD,52,5,12,69
HUMBOLDT COUNTY,FERNDALE PD,6,4,0,10
HUMBOLDT COUNTY,FORTUNA PD,17,1,5,23
HUMBOLDT COUNTY,HUMBOLDT CO DA,9,0,0,9
HUMBOLDT COUNTY,HUMBOLDT CO SD,191,11,9,211
HUMBOLDT COUNTY,HUMBOLDT DEPT WELFARE/INVEST,8,0,0,8
HUMBOLDT COUNTY,RIO DELL PD,5,1,0,6
IMPERIAL COUNTY,BRAWLEY PD,34,5,8,47
IMPERIAL COUNTY,CALEXICO PD,20,3,4,27
IMPERIAL COUNTY,CALIPATRIA PD,5,6,0,11
IMPERIAL COUNTY,EL CENTRO PD,48,0,10,58
IMPERIAL COUNTY,IMPERIAL CO DA,18,0,0,18
IMPERIAL COUNTY,IMPERIAL CO SD,96,13,14,123
IMPERIAL COUNTY,IMPERIAL PD,14,1,0,15
IMPERIAL COUNTY,WESTMORLAND PD,6,3,0,9
INYO COUNTY,BISHOP PD,12,5,7,24
INYO COUNTY,INYO CO DA,2,0,0,2
INYO COUNTY,INYO COUNTY SD,30,20,6,56
KERN COUNTY,ARVIN PD,18,3,5,26
KERN COUNTY,BAKERSFIELD PD,371,8,34,413
KERN COUNTY,BEAR VALLEY PD,5,1,0,6
KERN COUNTY,CALIFORNIA CITY PD,18,7,8,33
KERN COUNTY,CSU BAKERSFIELD DPS,12,0,6,18
KERN COUNTY,DELANO PD,49,2,10,61
KERN COUNTY,KERN CO DA,25,0,0,25
KERN COUNTY,KERN CO-DEPT OF PARKS & REC,5,1,0,6
KERN COUNTY,KERN COUNTY SD,823,52,37,912
KERN COUNTY,KERN HIGH SCHOOL DISTRICT PD,28,0,0,28
KERN COUNTY,MCFARLAND PD,13,0,6,19
KERN COUNTY,RIDGECREST PD,30,11,5,46
KERN COUNTY,SHAFTER PD,26,1,7,34
KERN COUNTY,STALLION SPRINGS PD,4,0,0,4
KERN COUNTY,TAFT PD,17,4,6,27
KERN COUNTY,TEHACHAPI PD,16,1,7,24
KINGS COUNTY,AVENAL PD,15,2,0,17
KINGS COUNTY,CORCORAN PD,17,2,7,26
KINGS COUNTY,HANFORD PD,55,0,14,69
KINGS COUNTY,KINGS CO DA,15,0,0,15
KINGS COUNTY,KINGS CO SHERIFF'S OFFICE,183,11,17,211
KINGS COUNTY,"KINGS CO-HUMAN SVCS,WELFARE FD",6,0,0,6
KINGS COUNTY,LEMOORE PD,32,7,0,39
LAKE COUNTY,CLEARLAKE PD,21,1,7,29
LAKE COUNTY,LAKE CO DA,4,0,1,5
LAKE COUNTY,LAKE CO SD,50,0,7,57
LAKE COUNTY,LAKEPORT PD,11,0,0,11
LASSEN COUNTY,LASSEN CO DA,1,0,0,1
LASSEN COUNTY,LASSEN CO SD,59,6,9,74
LASSEN COUNTY,SUSANVILLE PD,16,1,0,17
LOS ANGELES COUNTY,ALHAMBRA PD,82,4,12,98
LOS ANGELES COUNTY,ARCADIA PD,65,6,8,79
LOS ANGELES COUNTY,AZUSA PD,61,7,9,77
LOS ANGELES COUNTY,BALDWIN PARK PD,70,1,10,81
LOS ANGELES COUNTY,BELL GARDENS PD,50,0,7,57
LOS ANGELES COUNTY,BELL PD,29,6,4,39
LOS ANGELES COUNTY,BEVERLY HILLS PD,122,12,19,153
LOS ANGELES COUNTY,BURBANK AIRPORT AUTH PD,29,0,0,29
LOS ANGELES COUNTY,BURBANK PD,145,9,13,167
LOS ANGELES COUNTY,CA DEPT INDUSTRIAL RELATIONS,3,0,0,3
LOS ANGELES COUNTY,CA DEPT OF BUSINESS OVERSIGHT,4,0,0,4
LOS ANGELES COUNTY,CERRITOS CCD PD,13,0,0,13
LOS ANGELES COUNTY,CLAREMONT PD,38,3,7,48
LOS ANGELES COUNTY,COMPTON UNIF SCH DIST PD,20,0,0,20
LOS ANGELES COUNTY,COVINA PD,55,2,12,69
LOS ANGELES COUNTY,CSU DOMINGUEZ HILLS DPS,18,0,6,24
LOS ANGELES COUNTY,CSU LONG BEACH PD,25,0,13,38
LOS ANGELES COUNTY,CSU LOS ANGELES DPS,19,0,6,25
LOS ANGELES COUNTY,CSU NORTHRIDGE DEPT POLICE SVS,21,0,6,27
LOS ANGELES COUNTY,CSU POMONA DPS,20,0,5,25
LOS ANGELES COUNTY,CULVER CITY PD,100,14,1,115
LOS ANGELES COUNTY,DOWNEY PD,108,0,15,123
LOS ANGELES COUNTY,EL CAMINO CCD PD,24,2,7,33
LOS ANGELES COUNTY,EL MONTE PD,114,24,15,153
LOS ANGELES COUNTY,EL SEGUNDO PD,55,0,0,55
LOS ANGELES COUNTY,GARDENA PD,89,6,0,95
LOS ANGELES COUNTY,GLENDALE CCD PD,9,0,0,9
LOS ANGELES COUNTY,GLENDALE PD,232,16,25,273
LOS ANGELES COUNTY,GLENDORA PD,53,4,9,66
LOS ANGELES COUNTY,HACIENDA LA PUENTE USD,6,0,0,6
LOS ANGELES COUNTY,HAWTHORNE PD,87,4,0,91
LOS ANGELES COUNTY,HERMOSA BEACH PD,34,1,0,35
LOS ANGELES COUNTY,HUNTINGTON PARK PD,51,5,9,65
LOS ANGELES COUNTY,INGLEWOOD PD,174,0,16,190
LOS ANGELES COUNTY,INGLEWOOD UNIF SCH DIST PD,7,1,0,8
LOS ANGELES COUNTY,IRWINDALE PD,24,2,6,32
LOS ANGELES COUNTY,LA VERNE PD,38,11,8,57
LOS ANGELES COUNTY,LONG BEACH PD,818,41,58,917
LOS ANGELES COUNTY,LOS ANGELES CITY DPT GEN SVCS,3,0,9,12
LOS ANGELES COUNTY,LOS ANGELES CITY HOUSING AUTH,1,0,0,1
LOS ANGELES COUNTY,LOS ANGELES CITY PARK RANGER,12,0,0,12
LOS ANGELES COUNTY,LOS ANGELES CO CORONER,47,0,0,47
LOS ANGELES COUNTY,LOS ANGELES CO DA,270,0,0,270
LOS ANGELES COUNTY,LOS ANGELES CO SD,9369,714,500,10583
LOS ANGELES COUNTY,LOS ANGELES PD,9743,427,544,10714
LOS ANGELES COUNTY,LOS ANGELES PORT PD,125,0,6,131
LOS ANGELES COUNTY,LOS ANGELES SCHOOL PD,374,0,0,374
LOS ANGELES COUNTY,LOS ANGELES WORLD AIRPORTS PD,524,0,0,524
LOS ANGELES COUNTY,MANHATTAN BEACH PD,62,3,0,65
LOS ANGELES COUNTY,MONROVIA PD,48,4,11,63
LOS ANGELES COUNTY,MONTEBELLO PD,64,8,10,82
LOS ANGELES COUNTY,MONTEBELLO UNIFIED SCHOOL DIST,5,0,0,5
LOS ANGELES COUNTY,MONTEREY PARK PD,69,20,12,101
LOS ANGELES COUNTY,PALOS VERDES ESTATES PD,25,10,9,44
LOS ANGELES COUNTY,PASADENA CITY CCD PD,7,0,7,14
LOS ANGELES COUNTY,PASADENA PD,227,14,26,267
LOS ANGELES COUNTY,POMONA PD,150,10,29,189
LOS ANGELES COUNTY,REDONDO BEACH PD,92,15,14,121
LOS ANGELES COUNTY,SAN FERNANDO PD,26,20,8,54
LOS ANGELES COUNTY,SAN GABRIEL PD,53,6,5,64
LOS ANGELES COUNTY,SAN MARINO PD,24,0,6,30
LOS ANGELES COUNTY,SANTA MONICA CCD PD,19,0,6,25
LOS ANGELES COUNTY,SANTA MONICA OFFICE EMER MGT,0,0,29,29
LOS ANGELES COUNTY,SANTA MONICA PD,208,0,0,208
LOS ANGELES COUNTY,SIERRA MADRE PD,15,6,4,25
LOS ANGELES COUNTY,SIGNAL HILL PD,33,0,8,41
LOS ANGELES COUNTY,SOUTH BAY REG PUB COMM AUTH,0,0,58,58
LOS ANGELES COUNTY,SOUTH GATE PD,77,1,8,86
LOS ANGELES COUNTY,SOUTH PASADENA PD,33,7,5,45
LOS ANGELES COUNTY,TORRANCE PD,203,1,24,228
LOS ANGELES COUNTY,UC LOS ANGELES PD,55,0,12,67
LOS ANGELES COUNTY,VERNON PD,39,0,8,47
LOS ANGELES COUNTY,WEST COVINA PD,94,7,16,117
LOS ANGELES COUNTY,WHITTIER PD,117,1,12,130
MADERA COUNTY,CHOWCHILLA PD,15,2,8,25
MADERA COUNTY,MADERA CO DA,10,0,0,10
MADERA COUNTY,MADERA CO SD,80,22,10,112
MADERA COUNTY,MADERA PD,55,0,13,68
MARIN COUNTY,BELVEDERE PD,7,0,0,7
MARIN COUNTY,CENTRAL MARIN POLICE AUTHORITY,40,4,0,44
MARIN COUNTY,FAIRFAX PD,11,1,4,16
MARIN COUNTY,MARIN CCD PD,6,0,0,6
MARIN COUNTY,MARIN CO DA,10,0,0,10
MARIN COUNTY,MARIN CO SD,199,0,51,250
MARIN COUNTY,MARIN MUNCPL WATER DIST,6,0,0,6
MARIN COUNTY,MILL VALLEY PD,22,1,0,23
MARIN COUNTY,NOVATO PD,54,0,12,66
MARIN COUNTY,ROSS PD,8,2,0,10
MARIN COUNTY,SAN RAFAEL PD,66,3,17,86
MARIN COUNTY,SAUSALITO PD,21,0,0,21
MARIN COUNTY,TIBURON PD,13,6,0,19
MARIPOSA COUNTY,MARIPOSA CO SD,59,14,0,73
MENDOCINO COUNTY,FORT BRAGG PD,15,0,0,15
MENDOCINO COUNTY,MENDOCINO CO DA,6,0,0,6
MENDOCINO COUNTY,MENDOCINO CO HEALTH/HUMAN SVCS,5,0,0,5
MENDOCINO COUNTY,MENDOCINO CO SD,124,4,13,141
MENDOCINO COUNTY,UKIAH PD,32,0,10,42
MENDOCINO COUNTY,WILLITS PD,10,1,6,17
MERCED COUNTY,ATWATER PD,27,2,5,34
MERCED COUNTY,DOS PALOS PD,7,5,4,16
MERCED COUNTY,GUSTINE PD,9,1,0,10
MERCED COUNTY,LIVINGSTON PD,20,4,5,29
MERCED COUNTY,LOS BANOS PD,40,1,9,50
MERCED COUNTY,MERCED CCD PD,4,0,0,4
MERCED COUNTY,MERCED CO DA,7,0,0,7
MERCED COUNTY,MERCED CO SD,102,31,7,140
MERCED COUNTY,MERCED PD,86,10,15,111
MERCED COUNTY,UC MERCED PD,12,0,5,17
MODOC COUNTY,ALTURAS PD,7,3,0,10
MODOC COUNTY,MODOC CO SD,12,0,5,17
MONO COUNTY,MAMMOTH LAKES PD,10,1,0,11
MONO COUNTY,MONO CO DA,3,0,0,3
MONO COUNTY,MONO CO SD,23,0,15,38
MONTEREY COUNTY,CARMEL PD,13,0,6,19
MONTEREY COUNTY,CSU MONTEREY BAY PD,14,0,0,14
MONTEREY COUNTY,DEL REY OAKS PD,5,4,0,9
MONTEREY COUNTY,GONZALES PD,10,0,0,10
MONTEREY COUNTY,GREENFIELD PD,18,0,0,18
MONTEREY COUNTY,KING CITY PD,15,0,0,15
MONTEREY COUNTY,MARINA PD,26,3,0,29
MONTEREY COUNTY,MONTEREY CO DA,30,0,0,30
MONTEREY COUNTY,MONTEREY CO EMER COMM,0,0,56,56
MONTEREY COUNTY,MONTEREY CO SHERIFF'S OFFICE,290,19,0,309
MONTEREY COUNTY,MONTEREY PD,45,0,0,45
MONTEREY COUNTY,MONTEREY REG AIRPORT DIST PD,6,0,0,6
MONTEREY COUNTY,PACIFIC GROVE PD,17,4,0,21
MONTEREY COUNTY,SALINAS PD,142,8,0,150
MONTEREY COUNTY,SAND CITY PD,10,4,0,14
MONTEREY COUNTY,SEASIDE PD,33,1,0,34
MONTEREY COUNTY,SOLEDAD PD,17,5,0,22
NAPA COUNTY,CALISTOGA PD,11,0,6,17
NAPA COUNTY,NAPA CO DA,10,0,0,10
NAPA COUNTY,NAPA CO SD,106,0,0,106
NAPA COUNTY,NAPA PD,73,0,30,103
NAPA COUNTY,NAPA VALLEY COLLEGE DPS,4,0,0,4
NAPA COUNTY,NAPA VALLEY RR PD,2,0,0,2
NAPA COUNTY,SAINT HELENA PD,11,1,7,19
NEVADA COUNTY,GRASS VALLEY PD,23,7,0,30
NEVADA COUNTY,NEVADA CITY PD,10,7,0,17
NEVADA COUNTY,NEVADA CO DA,4,0,0,4
NEVADA COUNTY,NEVADA CO SD,63,5,9,77
NEVADA COUNTY,TRUCKEE PD,22,2,0,24
ORANGE COUNTY,ANAHEIM PD,389,5,35,429
ORANGE COUNTY,BREA PD,58,0,13,71
ORANGE COUNTY,BUENA PARK PD,80,5,18,103
ORANGE COUNTY,COAST CCD PD,1,0,0,1
ORANGE COUNTY,COSTA MESA PD,118,4,25,147
ORANGE COUNTY,CSU FULLERTON PD,29,0,8,37
ORANGE COUNTY,CYPRESS PD,48,0,0,48
ORANGE COUNTY,FOUNTAIN VALLEY PD,52,0,9,61
ORANGE COUNTY,FULLERTON PD,146,6,19,171
ORANGE COUNTY,GARDEN GROVE PD,160,24,19,203
ORANGE COUNTY,HUNTINGTON BEACH PD,209,9,29,247
ORANGE COUNTY,IRVINE PD,216,3,19,238
ORANGE COUNTY,IRVINE VALLEY CCD PD,7,0,5,12
ORANGE COUNTY,LA HABRA PD,65,4,14,83
ORANGE COUNTY,LA PALMA PD,20,3,12,35
ORANGE COUNTY,LAGUNA BEACH PD,44,3,12,59
ORANGE COUNTY,LOS ALAMITOS PD,24,2,0,26
ORANGE COUNTY,NEWPORT BEACH PD,137,7,18,162
ORANGE COUNTY,ORANGE CO DA,173,0,0,173
ORANGE COUNTY,ORANGE CO SD/CORONER,1866,192,57,2115
ORANGE COUNTY,ORANGE PD,146,8,17,171
ORANGE COUNTY,PLACENTIA PD,44,4,12,60
ORANGE COUNTY,SADDLEBACK CCD PD,7,0,2,9
ORANGE COUNTY,SANTA ANA PD,304,5,34,343
ORANGE COUNTY,SANTA ANA UNIF SCHL DIST PD,22,0,0,22
ORANGE COUNTY,SEAL BEACH PD,32,2,0,34
ORANGE COUNTY,TUSTIN PD,90,9,13,112
ORANGE COUNTY,UC IRVINE PD,39,0,8,47
ORANGE COUNTY,WEST CITIES COMM CTR,0,0,26,26
ORANGE COUNTY,WESTMINSTER PD,77,5,13,95
PLACER COUNTY,AUBURN PD,19,3,8,30
PLACER COUNTY,LINCOLN PD,21,0,5,26
PLACER COUNTY,PLACER CO DA,16,0,0,16
PLACER COUNTY,PLACER COUNTY SD,253,85,24,362
PLACER COUNTY,ROCKLIN PD,52,5,17,74
PLACER COUNTY,ROSEVILLE PD,121,3,22,146
PLACER COUNTY,UNION PACIFIC RAILROAD,60,0,0,60
PLUMAS COUNTY,PLUMAS CO SD,32,8,8,48
RIVERSIDE COUNTY,BANNING PD,27,4,11,42
RIVERSIDE COUNTY,BEAUMONT PD,38,0,10,48
RIVERSIDE COUNTY,BLYTHE PD,20,1,7,28
RIVERSIDE COUNTY,CATHEDRAL CITY PD,46,10,19,75
RIVERSIDE COUNTY,CORONA PD,160,0,26,186
RIVERSIDE COUNTY,DESERT HOT SPRINGS  PD,28,1,0,29
RIVERSIDE COUNTY,HEMET PD,73,1,17,91
RIVERSIDE COUNTY,INDIO PD,63,0,14,77
RIVERSIDE COUNTY,MURRIETA PD,84,4,20,108
RIVERSIDE COUNTY,PALM SPRINGS PD,91,4,16,111
RIVERSIDE COUNTY,RIVERSIDE CCD PD,18,4,0,22
RIVERSIDE COUNTY,RIVERSIDE CO DA,107,0,2,109
RIVERSIDE COUNTY,RIVERSIDE CO PUBLIC SOCIAL SER,19,0,0,19
RIVERSIDE COUNTY,RIVERSIDE CO SD,1925,36,170,2131
RIVERSIDE COUNTY,RIVERSIDE PD,343,1,52,396
RIVERSIDE COUNTY,UC RIVERSIDE PD,32,0,9,41
SACRAMENTO COUNTY,CA ALCOHOLIC BEVERAGE CONTROL,183,0,0,183
SACRAMENTO COUNTY,CA ASSEMBLY SGT AT ARMS LEGIS,23,0,0,23
SACRAMENTO COUNTY,CA DEPT CONSUMER AFF DEN BD,16,0,0,16
SACRAMENTO COUNTY,CA DEPT CONSUMER AFF INVEST,121,0,0,121
SACRAMENTO COUNTY,CA DEPT DEVELOPMENTAL OPS,79,0,0,79
SACRAMENTO COUNTY,CA DEPT EMPLOYMENT DEVELOPMENT,37,0,0,37
SACRAMENTO COUNTY,CA DEPT FISH & WILDLIFE,358,0,0,358
SACRAMENTO COUNTY,CA DEPT HEALTH CARE SVCS,84,0,0,84
SACRAMENTO COUNTY,CA DEPT INSURANCE FRAUD,173,0,0,173
SACRAMENTO COUNTY,CA DEPT JUSTICE,271,0,0,271
SACRAMENTO COUNTY,CA DEPT MOTOR VEHICLES,197,0,0,197
SACRAMENTO COUNTY,CA DEPT OF MANAGED HEALTH CARE,1,0,0,1
SACRAMENTO COUNTY,CA DEPT PARKS & RECREATION,551,0,51,602
SACRAMENTO COUNTY,CA DEPT PUB HEALTH FOOD/DRUG,98,0,0,98
SACRAMENTO COUNTY,CA DEPT SOCIAL SERVICES,53,0,0,53
SACRAMENTO COUNTY,CA DEPT STATE HOSPITALS,36,0,0,36
SACRAMENTO COUNTY,CA DEPT TOXIC SUBSTANCES CNTL,12,0,0,12
SACRAMENTO COUNTY,CA FRANCHISE TAX BOARD,37,0,0,37
SACRAMENTO COUNTY,CA HIGHWAY PATROL,7368,0,866,8234
SACRAMENTO COUNTY,CA HORSE RACING BOARD,9,0,0,9
SACRAMENTO COUNTY,CA SECRETARY OF STATE OFC INV,6,0,0,6
SACRAMENTO COUNTY,CA STATE CONTROLLER - INVEST,1,0,0,1
SACRAMENTO COUNTY,CA STATE FAIR PD,4,1,0,5
SACRAMENTO COUNTY,CA STATE LOTTERY,29,0,0,29
SACRAMENTO COUNTY,CAL - OES,13,0,0,13
SACRAMENTO COUNTY,CAL FIRE,171,0,0,171
SACRAMENTO COUNTY,CITRUS HEIGHTS PD,89,4,21,114
SACRAMENTO COUNTY,CSU SACRAMENTO UNIVERSITY PD,22,0,5,27
SACRAMENTO COUNTY,ELK GROVE PD,133,0,23,156
SACRAMENTO COUNTY,FOLSOM PD,71,4,14,89
SACRAMENTO COUNTY,GALT PD,31,2,10,43
SACRAMENTO COUNTY,LOS RIOS CCD PD,22,1,6,29
SACRAMENTO COUNTY,SACRAMENTO CO CORONER,14,0,0,14
SACRAMENTO COUNTY,SACRAMENTO CO DA,43,0,0,43
SACRAMENTO COUNTY,SACRAMENTO CO HUMAN ASST INV,25,0,0,25
SACRAMENTO COUNTY,SACRAMENTO CO REG PARKS DEPT,27,2,0,29
SACRAMENTO COUNTY,SACRAMENTO CO SD,1276,387,61,1724
SACRAMENTO COUNTY,SACRAMENTO PD,668,100,79,847
SACRAMENTO COUNTY,TWIN RIVERS USD PD,22,3,4,29
SAN BENITO COUNTY,HOLLISTER PD,30,1,0,31
SAN BENITO COUNTY,SAN BENITO CO DA,2,0,0,2
SAN BENITO COUNTY,SAN BENITO CO SD,51,7,0,58
SAN BERNARDINO COUNTY,BARSTOW PD,36,1,11,48
SAN BERNARDINO COUNTY,BURLINGTON NORTHRN SANTA FE RR,33,0,0,33
SAN BERNARDINO COUNTY,CHAFFEY CCD PD,12,0,0,12
SAN BERNARDINO COUNTY,CHINO PD,103,1,18,122
SAN BERNARDINO COUNTY,COLTON PD,45,0,12,57
SAN BERNARDINO COUNTY,CSU SAN BERNARDINO DPS,18,0,9,27
SAN BERNARDINO COUNTY,FONTANA PD,184,1,28,213
SAN BERNARDINO COUNTY,FONTANA UNIFIED SCHOOL DIST,17,0,10,27
SAN BERNARDINO COUNTY,HESPERIA UNIFIED SCHOOL DIST,8,0,0,8
SAN BERNARDINO COUNTY,MONTCLAIR PD,44,5,9,58
SAN BERNARDINO COUNTY,ONTARIO PD,272,8,41,321
SAN BERNARDINO COUNTY,REDLANDS PD,79,3,14,96
SAN BERNARDINO COUNTY,RIALTO PD,103,1,13,117
SAN BERNARDINO COUNTY,SAN BERNARDINO CCD PD,8,0,1,9
SAN BERNARDINO COUNTY,SAN BERNARDINO CO DA,54,0,0,54
SAN BERNARDINO COUNTY,SAN BERNARDINO CO SD,1906,178,156,2240
SAN BERNARDINO COUNTY,SAN BERNARDINO PD,229,19,34,282
SAN BERNARDINO COUNTY,SAN BERNARDINO UNIF SCHL DIST,26,6,5,37
SAN BERNARDINO COUNTY,SNOWLINE JOINT UNIF SCHL DIST,3,2,0,5
SAN BERNARDINO COUNTY,UPLAND PD,64,6,16,86
SAN BERNARDINO COUNTY,VICTOR VALLEY COLLEGE PD,6,4,0,10
SAN DIEGO COUNTY,CARLSBAD PD,110,3,20,133
SAN DIEGO COUNTY,CHULA VISTA PD,223,6,22,251
SAN DIEGO COUNTY,CORONADO PD,44,1,6,51
SAN DIEGO COUNTY,CSU SAN DIEGO DPS,25,0,9,34
SAN DIEGO COUNTY,CSU SAN MARCOS DPS,19,0,3,22
SAN DIEGO COUNTY,EL CAJON PD,117,24,18,159
SAN DIEGO COUNTY,ESCONDIDO PD,155,8,25,188
SAN DIEGO COUNTY,LA MESA PD,67,2,19,88
SAN DIEGO COUNTY,MIRA COSTA CCD PD,8,0,4,12
SAN DIEGO COUNTY,NATIONAL CITY PD,84,8,13,105
SAN DIEGO COUNTY,OCEANSIDE PD,202,1,28,231
SAN DIEGO COUNTY,PALOMAR CCD PD,10,1,0,11
SAN DIEGO COUNTY,SAN DIEGO CCD PD,32,0,9,41
SAN DIEGO COUNTY,SAN DIEGO CITY SCHOOLS PD,37,0,8,45
SAN DIEGO COUNTY,SAN DIEGO CO DA,119,2,0,121
SAN DIEGO COUNTY,SAN DIEGO CO SD,2638,78,140,2856
SAN DIEGO COUNTY,"SAN DIEGO HARBOR PD, PORT OF",127,0,14,141
SAN DIEGO COUNTY,SAN DIEGO PD,1794,63,171,2028
SAN DIEGO COUNTY,SOUTHWESTERN CCD PD,11,0,0,11
SAN DIEGO COUNTY,UC SAN DIEGO PD,37,0,11,48
SAN FRANCISCO COUNTY,CSU SAN FRANCISCO PD,27,0,6,33
